Procedure,Code
Excision and drainage of upper back carbuncle,"selalunya carbuncle kite saucerization tapi die da tuis mcm tu jadi kite kod ni
86.04 tu tk sesuai sbb die incision (potong buat lubang), excision die potong sekeliling dan korek 
86.22 Excisional debridement of wound, infection, or burn"
Iv methylprednisolone,"99.23 Injection of steroid
- sbb methylpred tu sejenis steroid gak"
Superficialization and transposition of left brachiobasilic limb,39.42 Revision of arteriovenous shunt for renal dialysis
Refashioning Of left little finger,"pakai yg ni for now
84.01 Amputation and disarticulation of finger"
RIGHT SYNDESMOLE SCREW,81.49 other repair of ankle (sbb die ankle bimalleolar fracture)
COMPUTED TOMOGRAPHY ANGIOGRAM BILATERAL LOWER LIMB,88.48 Arteriography of femoral and other lower extremity arteries
left burrhole and drainage,01.24 other craniotomy
anterior cervical discectomy and fusion c4/c5 and c5/c6,"80.51 Excision of intervertebral disc
81.02 Other cervical fusion, anterior technique"
awake fibreoptic intubation,"96.04 Insertion of endotracheal tube
- sama mcm kod intubation"
"Laparoscopic Ultralow Anterior Resection, Intersphincteric Dissection and Turnbull Cutait","48.63 Other anterior resection of rectum ( tak ambil 48.62 sebab yang ni takde colostomy)
- anterior resection
49.59 Other anal sphincterotomy
Division of sphincter NOS
- intersphincteric dissection
46.03 Exteriorization of large intestine
45.95 Anastomosis to anus
- turnbull cutait"
LEFT CRANIOTOMY AND CLIPPING OF ANEURYSM,"01.24 Other craniotomy
39.51 Clipping of aneurysm"
RIGHT EYE SUPRATARSAL TRIAMCINOLONE INJECTION UNDER GA,"99.23 Injection of steroid
08.99 Other operations on eyelids"
RIGHT EYE PLAQUE REMOVAL UNDER GA,"11.1 Incision of cornea
- ophthal kata dia macam removal foreign body from cornea"
brainstem evoked response,"95.46 Other auditory and vestibular function tests
- i tengok previous cases pakai kod ini"
Left Reverse Dynamic Condylar Screw,"79.3_ Open reduction of fracture with internal fixation
- kena tgk fracture bahagian mana (cuba tgk diagnosis) untuk menentukan kod selepas 3 tu"
cect liver 4-phase,88.01 Computerized axial tomography of abdomen
"Corrective Osteotomy And Proximal Right Tibia Locking Compression Plate, Fibulectomy, Synthetic Bone Graft, Iliac Bone Graft","77.97 Total ostectomy (7= tibia/fibula)
- Corrective Osteotomy tibia + Fibulectomy
79.36 Open reduction of fracture with internal fixation (6=tibia/fibula)
-  Proximal Right Tibia Locking Compression Plate
78.07 Bone graft (7= tibia/fibula)
- Synthetic Bone Graft, Iliac Bone Graft
"
Caudal block,03.91 Injection of anesthetic into spinal canal for analgesia
nasoendoscopy,21.21 Rhinoscopy
peritoneal washout,54.99 Other operations of abdominal region
percutaneous drainage of intramuscular collection,83.95 Aspiration of other soft tissue
aspiration of axillary abscess,86.01 Aspiration of skin and subcutaneous tissue
supraglottoplasty,31.69 Other repair of larynx
muscle repair of right forearm,83.65 Other suture of muscle or fascia
Left Decompressive Craniectomy and Bury Bone Abdomen,"01.25 Other craniectomy
- decomp craniectomy
86.09 Other incision of skin and subcutaneous tissue
- bury bone abdomen (utk ni rasanya kena further bincang)"
distal laparogram,"typo?
i rasa mungkin DISTAL LOOPOGRAM
87.65 Other x-ray of intestine 
- untuk distal loopogram"
Open Cholecystectomy and Biliary Reconstruction,"51.22 Cholecystectomy
51.32 Anastomosis of gallbladder to intestine"
Left Neck Exploration,86.19 Other diagnostic procedures on skin and subcutaneous tissue
"Anchor Suture Deltoid Ligament, Tightrope Syndesmotic Joint and Posterior Malleolus Screw Fixation of Left Ankle","81.94 Suture of capsule or ligament of ankle and foot
- anchor suture deltoid  ligament (deltoid ligament tu ankle ligament)
81.49 Other repair of ankle
- Tightrope Syndesmotic Joint 
79.36 Open reduction of fracture with internal fixation (ankle malleolus tu bahagian tulang tibia/fibula = 6 = tibia and fibula
- Posterior Malleolus Screw Fixation of Left Ankle"
Retrograde Nail Right Femur Hybrid External Fixator and antibiotic spacer tibia,"79.36 Open reduction of fracture with internal fixation (6 = tibia)
- retrograde nail right femur 
78.17 Application of external fixator device (7=tibia)
84.73 Application of hybrid external fixator device
- dua kod di atas untuk HYBRID EXTERNAL FIXATOR
84.56 Insertion or replacement of (cement) spacer
- antibiotic spacer tibia"
decompression and fusion of L5-S1,"81.06 Lumbar and lumbosacral fusion, anterior technique"
polytetrafluoroethylene therapy,99.29 Injection or infusion of other therapeutic or prophylactic substance
proctoscopy,48.23 Rigid proctosigmoidoscopy
"relaparotomy, evacuation of clot, abdominal washout and refashioning of stoma","54.12 Reopening of recent laparotomy site
- relaparotomy
54.99 Other (other operation on abdominal regions) 
- evacuation of clot & abdominal washout
46.40 Revision of intestinal stoma, not otherwise specified
- refashioning of stoma
"
stoma care,99.99 Other miscellaneous procedures 
Harvesting Of Pericranium and Obliteration of Frontal Sinus,"02.04 Bone graft to skull
- harvesting of pericranium
22.42 Frontal sinusectomy
-  obliteration of frontal sinus"
Insertion Of Radivac Drain,"kena tengok lokasi drain tu diletak

- kalau ade laparotomy/perut operation, i rasa sesuai pakai
- 54.99  other operations of abdominal region"
Laparotomy Small Bowel Decompression,"54.11 Exploratory laparotomy
46.99 Other operations on intestines"
Posterior Sagittal Anorectoplasty,"48.40 Pull-through resection of rectum, not otherwise specified"
NIPPLE BASE FROZEN SECTION AND LATERAL INTERCOSTAL ARTERY PERFORATOR FLAP,"85.12 Open biopsy of breast
- nipple base frozen section
85.70 Total reconstruction of breast, not otherwise specified
- Perforator flap, free
- lateral intercostal artery perforator flap"
IRRIGATION AND DRAINAGE OF INFECTED SEBACEOUS CYST,"86.28 Nonexcisional debridement of wound, infection or burn
- irrigation sebaceous cyst
86.04 Other incision with drainage of skin and subcutaneous tissue
- drainage sebaceous cyst"
ARTERIAL REPAIR OF LEFT ANKLE,39.31 Suture of artery
VENOUS REPAIR,39.32 Suture of vein
Product Of Conception For Histopathology Examination,91.46 Microscopic examination of specimen from female genital tract
laparoscopic right cystectomy,65.25 Other laparoscopic local excision or destruction of ovary
Right Flexor Digitorum Tendon Release And Flexor Hallucis Tenotomy,"83.01 Exploration of tendon sheath
- Right Flexor Digitorum Tendon Release & 
83.13 Other tenotomy
- flexor hallucis tenotomy 
"
vitreous biopsy,14.11 Diagnostic aspiration of vitreousposterior chamber
intraocular tamponade,"ophthal reply yang prosidur ini combine bawah kod 14.74 TPPV (trans pars plana vitrectomy)
14.74 Other mechanical vitrectomy "
sentinel lymph node biopsy of left breast carcinoma,40.23 Excision of axillary lymph node
laparotomy and resection of caesarean scar pregnancy,"54.11 Exploratory laparotomy
54.3 Excision or destruction of lesion or tissue of abdominal wall or umbilicus"
ulnar artery embolectomy,"38.13 Endarterectomy (3 = upper limb vessels Axillary,Brachial,Radial,Ulnar)"
fasciotomy of left hand,82.12 Fasciotomy of hand
fasciotomy of left forearm,83.14 Fasciotomy (kod ini untuk semua fasciotomy selain daripada hand)
"exploration, repair and closure of burst abdomen",54.61 Reclosure of postoperative disruption of abdominal wall
closed manual reduction & hip spica,"79.00 Closed reduction of fracture without internal fixation (0 = unspecified site)
- closed manual reduction
93.51 Application of plaster jacket
- hip spica"
sleep study / polysomnogram / polysomnography,89.17 Polysomnogram
liver haemostasis,50.99 Other operations on liver
Nerve Transfer Branch of Flexor Carpi Radialis of Left Median Nerve to Bicep Branch of Left Musculocutaneous Branch (Oberlin II Procedure),04.6 Transposition of cranial and peripheral nerves
Total knee replacement,81.54 Total knee replacement
Right knee arthroscopic debridement,80.26 Arthroscopy (6 = knee)
Narrow LCP of left humerus ,79.31 Open reduction of fracture with internal fixation (1=humerus)
bedside swallowing assessment,"dalam manual icd 9 versi 2021 memang bagi kod ni untuk diagnosis ni
- ikut je la kod ni walaupun rasa mcm pelik sikit"
Achilles tendon repair ,"betul
83.64 Other suture of tendon"
deblistering for left leg bullous cellulitis,86.09 Other incision of skin and subcutaneous tissue
renal mass biopsy under ultrasound guidance,55.23 Closed [percutaneous] [needle] biopsy of kidney
cryocuff,99.81 Hypothermia (central) (local)
omentum biopsy,"54.23 Biopsy of peritoneum
Biopsy of:
mesentery
omentum"
IEM study,99.99 Other
growth hormone ,99.24 Injection of other hormone
c peptide level,99.99 Other
exploratory laparotomy  and adhesiolysis segmental small bowel resection,"54.11 Exploratory laparotomy
54.59 Other lysis of peritoneal adhesions
45.51 Isolation of segment of small intestine"
wide local excision of right breast mass and excision biopsy of right accessory breast,"85.20 Excision or destruction of breast tissue, not otherwise specified
- wide local excision
85.24 Excision of ectopic breast tissue
- excision biopsy of right accessory breast"
right acl augmentation and medial plica excision ,81.45 Other repair of the cruciate ligaments
triangular fibrocartilage complex,"ARTHROSCOPY LEFT WRIST WITH TRIANGULAR FIBROCARTILAGE COMPLEX REPAIR
80.23 Arthroscopy (3= wrist)
- ARTHROSCOPY LEFT WRIST
81.96 Other repair of joint
- TRIANGULAR FIBROCARTILAGE COMPLEX REPAIR
"
usg guided right pleural drainage,34.09 Other incision of pleura
pelvic lymph node dissection,40.59 Radical excision of other lymph nodes
"Vaginal Hysterectomy, Pelvic Floor Repair, Sacrospinous Ligament Fixation","68.59 Other and unspecified vaginal hysterectomy
70.79 Other repair of vagina
"
parenteral iron therapy,99.29 Injection or infusion of other therapeutic or prophylactic substance
Right Calf Muscle Biopsy,83.21 Biopsy of soft tissue
laparotomy bilateral cystectomy,65.21 Marsupialization of ovarian cyst
reversal of ileostomy,46.51 Closure of stoma of small intestine
supratarsal triamcinolone injection,99.23 Injection of steroid
antibiotic cement rod,84.56 Insertion or replacement of (cement) spacer
Intramedullary washout,"86.22 Excisional debridement of wound, infection, or burn"
dengue combo test,tidak perlu 
"wound debridement, shortening of right above knee amputation stump, stimulant insertion with secondary suturing","86.22 Excisional debridement of wound, infection, or burn
84.3 Revision of amputation stump
86.59 Closure of skin and subcutaneous tissue of other sites"
removal of cervical polyp,67.39 Other excision or destruction of lesion or tissue of cervix
enclavation of iol,"13.90 Operation on lens, Not Elsewhere Classified"
vitreous surgery,"tak cukup specific procedure ini, boleh pakai kod ni dlu
14.79 Other operations on vitreous"
fixed traction right hip,93.46 Other skin traction of limbs
cta thorax,88.44 Arteriography of other intrathoracic vessels
removal of skin tag,86.4 Radical excision of skin lesion
"bilateral frontal decompressive craniectomy and partial clot evacuation, dura slit and transcutaneous bone flap implantation","01.25 Other craniectomy
- bilateral frontal decompressive craniectomy and partial clot evacuation
86.09 Other incision of skin and subcutaneous tissue
- transcutaneous bone flap implantation
"
right ultrasound guided hookwire localisation ,85.19 Other diagnostic procedures on breast
lateral intercostal artery perforator (LICAP) flap,"85.70 Total reconstruction of breast, not otherwise specified
Perforator flap, free"
nipple base frozen section ,"ni ada kat atas da 
85.12 Open biopsy of breast"
Prophylactic Ligation Of Left Brachiocephalic Fistula ,"38.83 Other surgical occlusion of vessels (upper limbs)
"
facet block L5/S1,81.92 Injection of therapeutic substance into joint or ligament
caudal block L5/S1,"boleh pakai kod caudal block, semua jenis caudal block sama kod
03.91 Injection of anesthetic into spinal canal for analgesia"
laser eye treatment,11.71 Keratomileusis
fluoride (dental caries),24.99 Other dental operations
"wound debridement, right tibia bone resection, revision external fixation right lower limb ","86.22 Excisional debridement of wound, infection, or burn
77.07 Sequestrectomy (7=tibia)
- right tibia bone resection
78.10 Application of external fixator device
- revision external fixation right lower limb "
readjustment of external fixation right foot & wound debridement of right foot ,"78.10 Application of external fixator device
- readjustment of external fixation right foot 
86.22 Excisional debridement of wound, infection, or burn
- wound debridement of right foot "
Ligation and stippling left brachiocephalic fistula,38.83 Other surgical occlusion of vessels (upper limbs)
bone nibbling of 1st metacarpal bone,77.64 Local excision of lesion or tissue of bone (4 = carpals and metacarpals)
bone curettage of left fifth toe,77.68 Local excision of lesion or tissue of bone (8 = tarsals and metatarsals)
excision of left superficial femoral artery aneurysm,39.52 Other repair of aneurysm
partial wound closure right foot,86.59 Closure of skin and subcutaneous tissue of other sites
fistuloplasty,39.49 Other revision of vascular procedure
Venoplasty,39.59 Other repair of vessel
cuff catheter conversion ,38.95 Venous catheterization for renal dialysis
radial nerve exploration,04.99 Other operations on cranial and peripheral nerves
left occipital craniotomy and tumor excision,"01.24 other craniotomy
01.59 Other excision or destruction of lesion or tissue of brain"
open window left leg,99.99 Other miscellaneous procedures
opioid titration,99.29 Injection or infusion of other therapeutic or prophylactic substance
reduction of prolapsed stoma,"46.40 Revision of intestinal stoma, not otherwise specified"
laparoscopic converted open appendicectomy,"54.21 Laparoscopy
47.09 Other appendectomy"
v-y plasty right index finger,82.89 Other plastic operations on hand
Total mesorectal excision,48.69 Other resection of rectum
"Right Eye PPV / Phacofragmentation / Aphakia
",ambik kod ppv 14.74
left eye cortical matter removal,14.74
terminal ileum  for histopathology,90.86 Microscopic examination of specimen from upper gastrointestinal tract and of vomitus
subcutaneous branula,86.99 Other operations on skin and subcutaneous tissue
ct guided aspiration,33.26 Closed [percutaneous] [needle] biopsy of lung
brain death test (BDT),89.13 Neurologic examination
excision of nubbin tissue,62.2 Excision or destruction of testicular lesion
"L4/L5 laminectomy, partial facetectomy and discectomy",03.09 Other exploration and decompression of spinal canal
chromosomal study,x yah kod ni
RIGHT LOWER LIMB FIBERGLASS (pt id: HM71099),93.53 Application of other cast
per speculum examination,89.26 Gynecological examination
intraoral packing,27.99 Other operations on oral cavity
anterior nasal packing,21.01 Control of epistaxis by anterior nasal packing
Bedside Aspiration,86.01 Aspiration of skin and subcutaneous tissue
Repair of Cholecystoduodenal Fistula,"51.72 Choledochoplasty (Repair of fistula of common bile duct)
46.72 Closure of fistula of duodenum"
Pull Through Suture Right Patella,81.47 Other repair of knee
Removal of Extensor Tendon,83.42 Other tenonectomy
appendix for hpe,90.96 Microscopic examination of specimen from lower gastrointestinal tract and of stool
shaving right clavicle,77.61 Local excision of lesion or tissue of bone
transcervical aspiration of left neck cyst,"86.01 Aspiration of skin and subcutaneous tissue
- tkde yg lebih sesuai plak"
bilateral septoturbinoplasty,ambil dua kod dari ENT tab (1. Turbinoplasty & 2.Septoplasty)
cap oxynorm,ini ubat makan jadi x perlu masukkan
right patella tendon stapler and screw fixation,"79.39 Open reduction of fracture with internal fixation
- right patella screw fixation
83.64 Other suture of tendon
- right patella tendon stapler "
usg guided needle core biopsy (diagnosis tro abdominal malignancy-abdominal mass),54.24 Closed [percutaneous] [needle] biopsy of intra-abdominal mass
adhesiolysis with subtotal colectomy with end ileostomy,"54.59 Other lysis of peritoneal adhesions
- adhesiolysis
45.79 Other and unspecified partial excision of large intestine
- subtotal colectomy
46.20 Ileostomy, not otherwise specified
- end ileostomy"
diagnostic laparoscopy and tubal dye test and bilateral hydrosalpinx drainage,"54.21 Laparoscopy
- diagnostic laparoscopy 
66.8 Insufflation of fallopian tube 
- tubal dye test
66.91 Aspiration of fallopian tube
- bilateral hydrosalpinx drainage"
"drainage of pseudocyst
- LEFT PSEUDOCYST IN BETWEEN LEFT TUBE AND POSTERIOR UTERUS",66.99 Other operations on fallopian tubes
limited posterior sagittal anorectoplasty,"48.40 Pull-through resection of rectum, not otherwise specified"
neck drain,yang ni x yah kod sbb die buat procedure utama Neck exploration & haemostasis ....drain tu die letak masa procedure
laparoscopic convert to laparotomy and wedge resection (left cornual pregnancy),66.69 Other partial salpingectomy
volar rim plating left radius,79.32 Open reduction of fracture with internal fixation
limb lengthening reconstruction system and stimulant (dx :infected right tibia interlocking nail),78.37 Limb lengthening procedures
charcoal dressing over left breast ,93.57 Application of other wound dressing
ctv brain,87.04 Other tomography of head
C3-C6 laminectomy posterior instrument and stabilisation C3-C6,"03.09 Other exploration and decompression of spinal canal
- C3-C6 laminectomy
81.03 Other cervical fusion, posterior technique
84.51 Insertion of interbody spinal fusion device
- C3-C6 posterior instrument  and stabilisation C3-C6"
"excision scar, contracture release of left index and middle finger (dx: burn contracture)","86.3 Other local excision or destruction of lesion or tissue of skin and
subcutaneous tissue
- excision scar
86.84 Relaxation of scar or web contracture of skin
- contracture release of left index and middle finger "
bilateral pelvic lymph nodes and bilateral internal iliac artery ligation,"40.9 Other operations on lymphatic structures
- bilateral pelvic lymph nodes ligation
38.86 Other surgical occlusion of vessels
- bilateral internal iliac artery ligation"
"Endoscopic ultrasound (EUS) and drainage      
(dx: peripancreatic collection)",54.99 Other operations of abdominal region
paring right callus,86.99 Other operations on skin and subcutaneous tissue
right radial head replacement & anchor suture right coronoid process & annular ligamentation ( dx - closed fracture dislocation of right elbow & right coronoid process fracture),"79.82 Open reduction of dislocation of elbow
79.32 Open reduction of fracture with internal fixation (2 = radius & ulna)"
MANIPULATION UNDER ANAESTHESIA OF RIGHT KNEE AND FASCIA RELEASE OVER PINSITE ,"83.91 Lysis of adhesions of muscle, tendon, fascia, and bursa"
release of symbrachydactyly of left middle and ring finger with full thickness skin graft (ortho),"86.89 Other repair and reconstruction of skin and subcutaneous tissue
- release of symbrachydactyly of left middle and ring finger 
86.61 Full-thickness skin graft to hand
- full thickness skin graft
"
first webspace plasty (dx: webbing over first webspace),86.89 Other repair and reconstruction of skin and subcutaneous tissue
laparoscopic transabdominal preperitoneal bilateral inguinal hernia repair,"17.24 Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
subretinal fluid drainage,"14.59 Other repair of retinal detachment
Includes: that with drainage"
infective screening (main dx born before arrival),"dah berbincang dgn paeds team, die lebih ke blood test fbc & crp
- maka kite x perlu masukkan dlm procedure"
reconstruction surgery right tibia,78.47 Other repair or plastic operations on bone (7=tibia)
ultrasound guided percutaneous drainage of liver collection,50.91 Percutaneous aspiration of liver
ct venogram brain,"same dgn ctv brain 
87.04 Other tomography of head"
urine drug test,89.29 Other nonoperative genitourinary system measurements
gas tamponade under local anesthesia ,i rasa die tick pars plana vitrectomy di borang prosidur kan? pakai kod itu saje
flexible nasopharyngoscopy,29.11 Pharyngoscopy
commissuroplasty ,27.59 Other plastic repair of mouth
THROAT SWAB FOR HFMD,99.99 Other miscellaneous procedures
conservative management (main dx : degenerative spondylolisthesis grade 2-3 L4/L5,tak perlu kod conservative management
Meatal Advancement and Glanuloplasty Incorporated,64.49 Other repair of penis
omental patch (ayat penuh: perforated gastric ulcer repair + omental patch),"54.74 Other repair of omentum
include Graft of omentum
- omental patch"
"laparotomy, choledochal cyst excision, hepaticoduodenostomy","54.19 Other laparotomy
51.69 Excision of other bile duct
- choledochal cyst excision
51.37 Anastomosis of hepatic duct to gastrointestinal tract
- hepaticoduodenostomy"
ptbd dilatation £¨ptbd = Percutaneous Transhepatic Biliary Drainage),51.98 Other percutaneous procedures on biliary tract
fluoroscopy (dx : cbd stricture post cholecystectomy/hepatolithiasis),51.19 Other diagnostic procedures on biliary tract
USG guided FNAC (dx left thyroid nodules,06.11 Closed [percutaneous] [needle] biopsy of thyroid gland
knee tap/aspiration,81.91 Arthrocentesis
Bowel Serosal Tear Repair,46.79 Other repair of intestine
right long dynamic hip screw (dx : Closed Right Interochanteric Femur Fracture with subtrochanteric extension ,79.35 Open reduction of fracture with internal fixation (5 = femur)
Vesicolithotripsy,59.99 Other operations on urinary system
surgical decompression of right periorbital region (dx. periorbital surgical site hematoma),86.01 Aspiration of skin and subcutaneous tissue
full length fibreglass left tibia ,93.53 Application of other cast
A1 pulley release left index finger (dx : right carpal tunnel syndrome & index trigger finger,82.01 Exploration of tendon sheath of hand
Laparoscopic anterior resection en bloc left vas deferens and seminal vesicle resection of high IMA/IMV ligation,"63.73 Vasectomy
60.73 Excision of seminal vesicle
38.86 Other surgical occlusion of vessels (6 abdominal arteries)
38.87 Other surgical occlusion of vessels (7 abdominal veins)"
left autologous cranioplasty,02.04 Cranioplasty >> Bone graft to skull
REMOVAL OF RIGHT RING FINGER AND ABLATION PLATE OF NAIL BED ,"86.23 Removal of nail, nail bed, or nail fold"
cannulated screw fixation of medial malleolus,79.36 Open reduction of fracture with internal fixation (6 = tibia and fibula)
BUTTON HOLE SYNDESMOTIC TIGHTROPE RIGHT ANKLE FIXATION AND SPLIT SKIN GRAFT OF MEDIAL & LATERAL FASCIOTOMY WOUND OF RIGHT LEG,"BUTTON HOLE SYNDESMOTIC TIGHTROPE RIGHT ANKLE FIXATION
- 81.49 Other repair of ankle
SPLIT SKIN GRAFT OF MEDIAL & LATERAL FASCIOTOMY WOUND OF RIGHT LEG
- 86.60 Free skin graft, not otherwise specified"
ONE THIRD TUBULAR PLATING OF RIGHT MALLEOLUS,79.36 Open reduction of fracture with internal fixation (6 = tibia and fibula)
UMBILICAL TOILETING,96.59 Other irrigation of wound
tdns and structural repair of left hand and left forearm,"82.99 Other operations on muscle, tendon, and fascia of hand
- tdns and structural repair of left hand
83.99 Other operations on muscle, tendon, fascia, and bursa (except hand)
- tdns and structural repair of left forearm"
"wound debridement, wound exploration, Structural Repair, Suzuki Finger Frame Left Middle Finger","86.22 Excisional debridement of wound, infection, or burn
- wound debridement, wound exploration
82.99 Other operations on muscle, tendon, and fascia of hand
- structural repair left middle finger 
84.71 Application of external fixator device, monoplanar
- suzuki finger frame left middle finger"
open anterior resection (dx: sigmoid descending colon junction tumors),48.63 Other anterior resection of rectum
urine taken (urine organic acid),89.29 Other nonoperative genitourinary system measurements
Transforaminal Injection TL1-L2,03.92 Injection of other agent into spinal canal
TDM amikacin,x yah la....x jumpe yg sesuai sgt
Modified Weaver-Dunn Procedure for right AC (Acromioclavicular) joint and right AC (Acromioclavicular) joint reconstruction,81.83 Other repair of shoulder
Excision of Nipple and Areolar Complex with Excision of Redundant Scar Tissue (dx: left breast invasive carcinoma),"85.25 Excision of nipple 
- Excision of Nipple and Areolar Complex 
86.3 Other local excision or destruction of lesion or tissue of skin and
subcutaneous tissue
- Excision of Redundant Scar Tissue "
CTA Thoraco-Abdominal Aorta,88.42 Aortography
Urine PCR,89.29 Other nonoperative genitourinary system measurements
Exploratory laparotomy and abdominal washout and modified Graham patch repair,"54.11 Exploratory laparotomy
- exploratory Laparotomy
44.41 Suture of gastric ulcer site
- Perforated Gastric Ulcer Repair"
laparoscopic resection of caesarean scar defect,68.29 Other excision or destruction of lesion of uterus
hernioplasty,"unilateral
- 53.05 Repair of inguinal hernia with graft or prosthesis, not otherwise
specified
bilateral 
- 53.17 Bilateral inguinal hernia repair with graft or prosthesis, not
otherwise specified"
"removal of implant, removal screw fixation of left 5th metatarsal ( Dx : aseptic non union left pseudo jones fracture",78.68 Removal of implanted devices from bone (8 = tarsals and metatarsals)
glucose monitoring,No need letak as procedure
Surgical enucleation,16.49 Other enucleation of eyeball
distal ileum mesentery peritonectomy,54.4 Excision or destruction of peritoneal tissue
HIV Elisa,no need code
Fluoroscopy guided nephrostomy tube upsize,"bole ambik
55.02 Nephrostomy"
Excision biopsy of right neck mass,"40.21 tak sesuai sbb ia untuk deep cervical lymph node
86.3 Other local excision or destruction of lesion or tissue of skin and
subcutaneous tissue"
BEDSIDE REDUCTION OF PARAPHIMOSIS,"tiada kod khas untuk prosidur ini
99.99 Other miscellaneous procedures"
EXCISION OF LEFT PREAXIAL POLYDACTYLY,82.69 Other reconstruction of thumb
"Examination under anesthesia, dilatation and curettage spinal",69.09 Other dilation and curettage
Pleuroscopy,34.21 Transpleural thoracoscopy
SCAR RELEASE AND REDO CIRCUMCISION,"86.84 tak sesuai sebab kod tu RELAXATION OF SCAR, bukan excision
86.3 Other local excision or destruction of lesion or tissue of skin and
subcutaneous tissue
- scar release
64.0 Circumcision
- redo circumcision"
Reconstruction plate symphysis pubis,79.39 Open reduction of fracture with internal fixation (9 = other specified bone)
Revision screw fixation navicular bone and spinopelvic fixation,"78.59 Internal fixation of bone without fracture reduction (9 = other specified bone)
- Revision screw fixation navicular bone
- code cover for revision
78.59 Internal fixation of bone without fracture reduction (9 = other specified bone)
- spinopelvic fixation"
wide local excision and V-Y advancement flap over the left nasal alar (diagnosis - nasal alar basal cell carcinoma),"21.30 Excision or destruction of lesion of nose, not otherwise specified
- wide local excision of nasal ala basal cell carcinoma
21.89 Other repair and plastic operations on nose
- V-Y advancement flap over the left nasal alar"
laparotomy incisional hernia repair and left inguinal hernia repair ,"53.51 Incisional hernia repair
- laparotomy incisional hernia repair
53.00 Unilateral repair of inguinal hernia, not otherwise specified
- left inguinal hernia repair "
sitz bath ,"prosidur ni rendam  air garam je
tak perlu masukkan dalam prosidur la"
ferguson haemorrhoidectomy ,49.49 Other procedures on hemorrhoids
"Kirschner wires of little finger, removal and disarticulation at distal interphalangeal joint level of left little finger","79.34 Open reduction of fracture with internal fixation (4 = phalanges of hand)
- Kirschner wires of little finger
84.01 Amputation and disarticulation of finger
- removal and disarticulation at distal interphalangeal joint level of left little finger"
"bedside wound debridement, shortening of 3rd metatarsal,tipping of second metatarsal head and 4th proximal phalanx","86.22 Excisional debridement of wound, infection, or burn
-  bedside wound debridement
78.28 Limb shortening procedures (8 tarsals and metatarsals)
- shortening of 3rd metatarsal
- tipping of second metatarsal head and 4th proximal phalanx"
BEDSIDE PERITONEAL TAPPING,sama dengan peritoneal tap di TAB jabatan MEDICAL
cect pancreatic protocol,88.01 Computerized axial tomography of abdomen
Subcutaneous port insertion (dx: adenocarcinoma with bone metastasis),86.07 Insertion of totally implantable vascular access device  
Right Brescia Cimino Creation (dx: End stage renal failure) ,39.27 Arteriovenostomy for renal dialysis
Superficial Parotidectomy (dx: Left Pleomorphic Adenoma of Parotid ),"26.30 Sialoadenectomy, not otherwise specified"
posterior spinal instrumentation and fixation t3-t11,"81.05 Dorsal and dorsolumbar fusion, posterior technique
84.51 Insertion of interbody spinal fusion device"
oral antibiotics,tidak perlu 
Sputum geneXpert,"nak 90.4 mcm susah sikit sbb yg tu microscopic examination
99.99 Other miscellaneous procedures"
excision of urethral stricture and primary anastomosis,"58.39 Other local excision or destruction of lesion or tissue of urethra
- excision of urethral stricture
58.44 Reanastomosis of urethra
- primary anastomosis"
premacular fibrosis excision (dx: left eye tractional retinal detachment) ,"bole ambik 14.9 ikut apa ophthal tulis dlm pd301 
14.9 Other operations on retina, choroid, and posterior chamber"
incision and drainage of an intraoral right submasseteric abscess ,27.0 Drainage of face and floor of mouth
"anterior/posterior (ant/post) perineal repairs
 (dx uv prolapsed grade 3 with cystocele rectocele",71.79 Other repair of vulva and perineum
medial collateral ligament internal bracing ,81.46 Other repair of the collateral ligaments
Proctoscope (dx:  lower GI bleed secondary to rectal ulcer),"betul
48.23 Rigid proctosigmoidoscopy"
Computerized Tomography Urogram / CT urogram / CTU ,"no specific code for ct urogram, suggested to use this closest code
87.71 Computerized axial tomography of kidney
"
evacuation of Gouty Tophi of left foot (dx: infected gouty tophi of left foot,80.88 Other local excision or destruction of lesion of joint (8=foot and toe)
POC for HPE (dx: miscarriage) (poc = product of conception),91.46 Microscopic examination of specimen from female genital tract (6=cell block and Papanicolaou smear)
Guyon canal release,"04.49 Other peripheral nerve or ganglion decompression or lysis of
adhesions"
Hypothenar Fat Pad / Hypothenar Fat Pad flap,86.72 Advancement of pedicle graft
Trucut biopsy of right breast,85.11 Closed [percutaneous] [needle] biopsy of breast
